"Timestamp","Age:","Gender: ","How often do you use the Internet?","On average, how many hours do you spend on the Internet daily?","What do you like doing most online?","Where do you use the Internet?","Which device do you access Internet from?","What is the main way of communication with your Offline friends?","How many of your virtual contacts have you not met in real life?","Have you ever met any virtual friends in real life?","Did you take any lessons on how to use the Internet?","Have you received lessons on how to stay safe on the Internet?","How often do you check your Email?","How ofte n do you check social media sites(Facebook, Instagram, Snapchat, Twitter etc.)","Do you use the Internet to pursue subculture interests (e.g. looking for alternative music bands or tv-soaps on WWW)?","Do you use the Internet to prepare your holidays(Airbnb, BookMyTrip, Hotels.com)?","Do you use the Internet to look for company or product information?","Do you participate in self-help groups in the Internet?","Do you ask on the Internet for psychological, medical or religious advice?","Do you search a topic on the Internet which you are interested in?","If you search a topic on the Internet and cannot find it, will you search it afterwards with conventional methods?","Do you feel a strong necessity to go onto the Internet when you are not online?","Do you feel an anticipation before you are using the Internet?","Do you ever feel guilty or depressed after using the Internet for a long time?","Does the Internet play any role in your dreams?","Are you thinking about what is happening on the Internet itself when you are not using it?","Do you spend more time on the Internet than you originally planned?","Have you ever lost track of time when you are using the Internet ?","Has the internet influenced your life in a positive way?","Please state 3 best things on the internet(include web address if wanted).","Please state 3 worst things on the internet(include web address if wanted)."
"2017/12/25 4:22:49 PM GMT+6","24","Female","Everyday","More than 4 hours","Social media(Facebook, Twitter, Instagram, Snapchat etc.)","Home","Smartphone","Voice call( phone)","1-5","Yes","No","Yes","2- 5 times an hour","More than 5 times an hour","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","Yes","Sometimes","Yes","Lectures, sports, news","Unneccesssary ads"
"2017/12/25 4:54:47 PM GMT+6","20","Female","Everyday","3-4 hours","Gaming","Home","Desktop","Sms","None","No","Yes","Yes","Once a day","2-5 times an hour","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Maybe","No","No","Yes","Sometimes","Yes","No","Yes","Facebook,Youtube,Google","Dark web,Porn,Online harassment"
"2017/12/25 5:05:23 PM GMT+6","21","Male","Everyday","More than 4 hours","Social media(Facebook, Twitter, Instagram, Snapchat etc.);Chatting(Messenger, Viber, Whatsapp);Email;News;Blogs;Movies;File Sharing;Web Browsing;YouTub Content Creating","Home;School;Cafe","Desktop;Smartphone","Voice call( phone);Instant Messaging;Sms;Email","More than 5","Yes","Yes","Yes","More than 5 times an hour","More than 5 times an hour","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","Yes","Sometimes","No","No","Yes","Communication,Outsourcing,Entertainment","Privacy & Security,Logs of our information,Selling our information to the advertiser"
"2017/12/25 5:16:28 PM GMT+6","22","Male","Everyday","More than 4 hours","Social media(Facebook, Twitter, Instagram, Snapchat etc.);Chatting(Messenger, Viber, Whatsapp);Blogs;Music;Web Browsing","Home;School;Cafe;Library;Friend's or family's house","Desktop;Smartphone","Voice call( phone)","More than 5","Yes","Yes","Yes","Less than once each hour","2-5 times an hour","Yes","No","Yes","Yes","Yes","Yes","No","Maybe","Yes","No","No","Sometimes","Maybe","No","Yes","",""
"2017/12/25 5:23:30 PM GMT+6","20","Male","Everyday","1-2 hours","Social media(Facebook, Twitter, Instagram, Snapchat etc.);Chatting(Messenger, Viber, Whatsapp);Email;News;File Sharing;Web Browsing;Internet tv","Home;School;Cafe;Library;Friend's or family's house","Desktop;Smartphone","Voice call( phone);Video call;Instant Messaging;Sms;Email","None","No","Yes","Yes","More than 5 times an hour","Less than once each hour","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Maybe","Yes","Yes","Yes","Yes","google,facebook,Amazon ",""
"2017/12/25 7:50:30 PM GMT+6","24","Male","Everyday","More than 4 hours","Web Browsing","Home","Desktop","Voice call( phone)","More than 5","Yes","No","No","Once a day","2-5 times an hour","Yes","No","Yes","No","No","Yes","Yes","Maybe","Yes","No","Maybe","Sometimes","Yes","Yes","Yes","Wikipedia ,YouTube .","Porn sites "
"2017/12/25 8:14:30 PM GMT+6","21","Male","Everyday","3-4 hours","Social media(Facebook, Twitter, Instagram, Snapchat etc.);Chatting(Messenger, Viber, Whatsapp);Email;Blogs;Gaming","Home","Desktop","Voice call( phone)","1-5","Yes","No","Yes","2- 5 times an hour","Less than once each hour","No","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes","No","No","No","Yes","No","",""
"2017/12/25 8:34:09 PM GMT+6","20","Female","Everyday","1-2 hours","Social media(Facebook, Twitter, Instagram, Snapchat etc.)","Home","Smartphone","Voice call( phone)","None","No","No","Yes","Once a day","Once a day","Yes","Yes","Yes","No","Yes","Yes","Yes","Maybe","Yes","Yes","No","Yes","Yes","No","Yes","most probably we can know everything when we using internet ..
internet is very importent for every life because for being able to have my own indentity online.
For being able to read latest news and gain knowledge about the latest products within minutes of
their release.


","the internet is usually a good place. But let's be real. Not always. So here are the worst things from because  sometimes we addicted  on theinternet "
"2017/12/25 8:42:26 PM GMT+6","22","Male","Everyday","More than 4 hours","Social media(Facebook, Twitter, Instagram, Snapchat etc.)","Home","Desktop","Voice call( phone)","More than 5","Yes","Yes","Yes","Once a day","Once a day","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","",""
"2017/12/25 8:59:28 PM GMT+6","20","Male","Everyday","3-4 hours","Social media(Facebook, Twitter, Instagram, Snapchat etc.);Chatting(Messenger, Viber, Whatsapp);Email;Blogs;Web Browsing","Home;School;Cafe;Library;Friend's or family's house","Desktop;Smartphone","","","","","","","","","","","","","","","","","","","","","","","",""
"2017/12/25 10:07:23 PM GMT+6","24","Female","Everyday","More than 4 hours","Social media(Facebook, Twitter, Instagram, Snapchat etc.);Chatting(Messenger, Viber, Whatsapp);Email;News;Music;Movies","Home;School;Cafe;Friend's or family's house","Desktop;Smartphone;Tablet","Video call;Skype;Email","None","No","No","No","Once a day","More than 5 times an hour","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Sometimes","Yes","Yes","Yes","",""
"2017/12/25 10:08:12 PM GMT+6","25","Male","Everyday","More than 4 hours","Social media(Facebook, Twitter, Instagram, Snapchat etc.);Chatting(Messenger, Viber, Whatsapp);Email;News;Web Browsing","Home;School;Cafe;Library;Friend's or family's house","Desktop;Smartphone;Tablet","Voice call( phone);Email","More than 5","Yes","No","No","Less than once each hour","More than 5 times an hour","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Always","Yes","Yes","Yes","",""
"2017/12/25 10:23:57 PM GMT+6","26","Male","Everyday","More than 4 hours","Social media(Facebook, Twitter, Instagram, Snapchat etc.);Chatting(Messenger, Viber, Whatsapp);Email;News;Blogs;Music;Movies;Gaming;File Sharing;Internet tv","Home;Cafe;Library;Friend's or family's house","Desktop;Smartphone;Tablet","Voice call( phone)","More than 5","Yes","No","Yes","More than 5 times an hour","2-5 times an hour","No","Yes","Yes","Yes","No","Yes","No","Maybe","No","No","Yes","Yes","Yes","Yes","Yes","",""
"2017/12/25 10:29:48 PM GMT+6","18","Male","Everyday","1-2 hours","Social media(Facebook, Twitter, Instagram, Snapchat etc.);Chatting(Messenger, Viber, Whatsapp);Email;News;Blogs;Music;Movies;Gaming;File Sharing;Web Browsing;Internet tv","Home;Friend's or family's house","Smartphone","Voice call( phone);Video call;Instant Messaging;Skype;Sms;Email;Gaming Sites","None","Yes","Yes","Yes","Once a day","Once a day","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Increase out knowledge 
Working easily ","Times 
Lag behind the study 
Addiction "
"2017/12/25 10:29:52 PM GMT+6","21","Male","Everyday","More than 4 hours","Social media(Facebook, Twitter, Instagram, Snapchat etc.);Chatting(Messenger, Viber, Whatsapp);Email;News;Blogs;Music;Movies;File Sharing","Home;School","Desktop;Smartphone","Voice call( phone);Instant Messaging;Sms","More than 5","Yes","No","No","Once a day","More than 5 times an hour","No","No","Yes","Yes","Yes","Yes","Yes","Maybe","No","No","No","","Yes","No","Yes","",""
"2017/12/26 1:50:32 AM GMT+6","23","Male","Everyday","3-4 hours","Social media(Facebook, Twitter, Instagram, Snapchat etc.);Email;Blogs;Web Browsing","Home;Cafe","Desktop;Smartphone","Voice call( phone)","1-5","Yes","No","No","2- 5 times an hour","2-5 times an hour","No","No","Yes","Yes","Yes","Yes","Yes","Maybe","No","No","Maybe","Sometimes","Maybe","Sometimes","Yes","knowledge, google map, information","time waste, adult movie, playing game"
"2017/12/26 1:56:28 AM GMT+6","24","Male","Everyday","More than 4 hours","Chatting(Messenger, Viber, Whatsapp);Web Browsing;Youtubing","Home;School;Cafe;Library;Friend's or family's house","Desktop;Smartphone;Smart Tv","Voice call( phone)","More than 5","Yes","No","No","Less than once each hour","Less than once each hour","Yes","No","Yes","Yes","Yes","Yes","Yes","Maybe","Yes","Yes","Maybe","Sometimes","Yes","Yes","No","Google, Youtube, Messenger","askfm, facebook, instagram"
"2017/12/26 2:12:30 AM GMT+6","23","Male","Everyday","More than 4 hours","Social media(Facebook, Twitter, Instagram, Snapchat etc.);Email;News;Music;Movies;File Sharing;Web Browsing","Home","Desktop;Smartphone","Voice call( phone);Instant Messaging","1-5","Yes","No","No","Once a day","Less than once each hour","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","facebook Gmail Google search","advertisement advertisement advertisement "
"2017/12/26 2:17:11 AM GMT+6","25","Male","Everyday","More than 4 hours","Movies","Home","laptop","Voice call( phone)","None","Yes","No","No","Once a day","Once a day","No","No","Yes","No","No","Yes","No","No","Yes","Yes","No","No","Yes","Yes","Yes","collecting information,learning about new things,enjoyment","wasting time,wasting money,bad influence"
"2017/12/26 9:03:45 AM GMT+6","24","Male","Everyday","More than 4 hours","Social media(Facebook, Twitter, Instagram, Snapchat etc.);Chatting(Messenger, Viber, Whatsapp);Email;News;Blogs;Music;Movies;Gaming;File Sharing;Web Browsing","Home;School;Cafe;Library;Friend's or family's house","Desktop;Smartphone;Tablet","Voice call( phone);Sms","1-5","No","No","Yes","Less than once each hour","2-5 times an hour","Yes","No","Yes","Yes","No","Yes","Yes","Maybe","No","No","Yes","Yes","Yes","Sometimes","Yes","Watching tutorials, Getting in touch with people at a low cost rate, Great source of  entertainment","wasting time sometimes, spreads rumor, nothing else"
"2017/12/26 10:53:05 AM GMT+6","23","Female","Everyday","More than 4 hours","Email;Blogs;Music;Web Browsing","Home;School;Library","Desktop;Smartphone","Voice call( phone)","1-5","Yes","No","No","Less than once each hour","More than 5 times an hour","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Maybe","Yes","Yes","Yes","Yes","",""
"2017/12/26 11:56:03 AM GMT+6","24","Male","Everyday","More than 4 hours","Social media(Facebook, Twitter, Instagram, Snapchat etc.);Chatting(Messenger, Viber, Whatsapp);Music;Web Browsing","Home;School;Friend's or family's house","Desktop;Smartphone;Tablet","Voice call( phone)","More than 5","Yes","No","Yes","Once a day","More than 5 times an hour","Yes","No","Yes","No","No","Yes","Yes","No","Yes","Yes","No","Sometimes","No","Sometimes","Yes","Tutorial websites, YouTube, Stackoverflow","Porn sites"
"2017/12/26 2:45:41 PM GMT+6","24","Female","Everyday","More than 4 hours","Social media(Facebook, Twitter, Instagram, Snapchat etc.);Email;Music;File Sharing","Home;Cafe;Friend's or family's house","Desktop;Smartphone","Video call;Instant Messaging;Sms","None","No","No","No","Once a day","Less than once each hour","No","Yes","Yes","No","Yes","Yes","Yes","No","No","No","No","No","Maybe","No","Yes","",""
"2017/12/26 4:24:05 PM GMT+6","24","Female","Everyday","2-3 hours","Social media(Facebook, Twitter, Instagram, Snapchat etc.);Chatting(Messenger, Viber, Whatsapp);Web Browsing","Home","Desktop;Smartphone","Voice call( phone)","None","No","No","No","Once a day","2-5 times an hour","No","No","Yes","No","No","Yes","Yes","No","No","No","No","No","No","No","Yes","Google, YouTube, Wikipedia","Bangladeshis, indians, pakistanis"
"2017/12/26 5:44:05 PM GMT+6","24","Female","Everyday","More than 4 hours","Social media(Facebook, Twitter, Instagram, Snapchat etc.);Chatting(Messenger, Viber, Whatsapp);Email;Music;Movies","Home;School;Cafe;Friend's or family's house","Smartphone","Voice call( phone);Sms","1-5","Yes","No","Yes","Once a day","2-5 times an hour","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","No","Maybe","Yes","Yes","Youtube, Google, Torrent ","Identity theft, bullying, sexual harassment"
"2017/12/26 6:44:13 PM GMT+6","25","Female","","More than 4 hours","Social media(Facebook, Twitter, Instagram, Snapchat etc.)","Home","Desktop;Smartphone","Voice call( phone);Instant Messaging;Sms","None","No","No","Yes","Less than once each hour","2-5 times an hour","Yes","No","Yes","No","No","Yes","No","Maybe","Yes","No","No","No","No","No","Yes","Chatting, www.youtube.com, wikipedia","Explicit contents, security issue, bullying"
"2017/12/26 6:45:02 PM GMT+6","22","Female","Everyday","More than 4 hours","Social media(Facebook, Twitter, Instagram, Snapchat etc.);Movies;Web Browsing","Home","Desktop;Smartphone","Voice call( phone)","None","Yes","Yes","Yes","More than 5 times an hour","Once a day","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes","Yes","Maybe","Yes","No","sds","dsds"
"2017/12/26 6:50:33 PM GMT+6","23","Female","Everyday","1-2 hours","News","Home","Desktop","Voice call( phone)","More than 5","No","Yes","Yes","Once a day","Less than once each hour","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Always","Yes","No","Yes","Yes","No","Sometimes","Yes","Strong search engine
Plays a vital role in research 
Helpful in study","Time waste in unnecessary things
Bad news influence people
Worst in case of thinking bad ideas"
"2017/12/26 6:50:57 PM GMT+6","24","Male","Everyday","2-3 hours","Social media(Facebook, Twitter, Instagram, Snapchat etc.);Email;Movies;Web Browsing","Home","Desktop;Smartphone","Voice call( phone)","1","Yes","Yes","Yes","Once a day","2-5 times an hour","No","No","Yes","No","No","Yes","No","Maybe","No","Yes","No","No","Yes","Yes","Yes","Huge source of information , best friend ,helps to reduce tension","Time waste , unwanted add, unwanted blog visit ."
"2017/12/26 6:52:19 PM GMT+6","24","Female","Everyday","2-3 hours","Social media(Facebook, Twitter, Instagram, Snapchat etc.);Chatting(Messenger, Viber, Whatsapp);Email;Music;Movies;Web Browsing","Home;Friend's or family's house","Desktop;Smartphone","Voice call( phone);Sms","1-5","Yes","Yes","Yes","Once a day","More than 5 times an hour","Yes","No","Yes","No","No","Yes","Yes","Maybe","No","No","No","Sometimes","Yes","Sometimes","Yes","Friends picture information","Scandal inhumanity war"
"2017/12/26 6:52:19 PM GMT+6","24","Female","Everyday","2-3 hours","Social media(Facebook, Twitter, Instagram, Snapchat etc.);Chatting(Messenger, Viber, Whatsapp);Email;Music;Movies;Web Browsing","Home;Friend's or family's house","Desktop;Smartphone","Voice call( phone);Sms","1-5","Yes","Yes","Yes","Once a day","More than 5 times an hour","Yes","No","Yes","No","No","Yes","Yes","Maybe","No","No","No","Sometimes","Yes","Sometimes","Yes","Friends picture information","Scandal inhumanity war"
"2017/12/26 7:55:28 PM GMT+6","20","Female","Everyday","3-4 hours","Chatting(Messenger, Viber, Whatsapp)","Home","Smartphone","Instant Messaging","None","No","No","No","Once a day","More than 5 times an hour","No","Yes","No","No","No","Yes","Yes","Always","Yes","No","Yes","No","Yes","Yes","Yes","",""
"2017/12/26 8:21:38 PM GMT+6","20","Male","Everyday","More than 4 hours","Social media(Facebook, Twitter, Instagram, Snapchat etc.);Chatting(Messenger, Viber, Whatsapp);Email;Blogs;Music;Web Browsing;Software Development","Home;Library","Desktop;Smartphone","Voice call( phone);Instant Messaging;Sms","More than 5","Yes","No","Yes","Less than once each hour","Less than once each hour","Yes","No","Yes","No","No","Yes","Yes","Maybe","No","No","No","No","No","No","Yes","google,github,opensource","this type of nonsense survey"
"2017/12/26 9:43:01 PM GMT+6","20","Male","Everyday","More than 4 hours","Blogs;Web Browsing","Home","Desktop;Smartphone","Instant Messaging","More than 5","Yes","No","No","Once a day","More than 5 times an hour","No","No","Yes","Yes","No","Yes","Yes","Maybe","No","No","Yes","No","No","Yes","Yes","10 min School,edx,sololearn",""
"2017/12/26 10:23:21 PM GMT+6","25","Female","Everyday","Less than an hour","Movies","Home","","Instant Messaging","More than 5","Yes","No","No","Once a day","Once a day","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","No","Yes","Movies, contacts, sharing","Eye problem, people knocks,messenger online"
"2017/12/26 10:28:04 PM GMT+6","24","Female","Everyday","More than 4 hours","Social media(Facebook, Twitter, Instagram, Snapchat etc.);Chatting(Messenger, Viber, Whatsapp);Email","Home;Library;Friend's or family's house","Desktop;Smartphone","Voice call( phone)","None","Yes","No","Yes","Once a day","Less than once each hour","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Sometimes","Yes","research like google scholar
youtube for learning anything
social media
","Spam
ads
"
"2017/12/26 11:05:20 PM GMT+6","26","Female","Everyday","More than 4 hours","Social media(Facebook, Twitter, Instagram, Snapchat etc.);Chatting(Messenger, Viber, Whatsapp);Email;Music;Movies;File Sharing","Home;Cafe;Friend's or family's house","Desktop;Smartphone","Voice call( phone);Skype;Sms","More than 5","Yes","No","No","2- 5 times an hour","More than 5 times an hour","Yes","Yes","Yes","No","Yes","Yes","No","Maybe","Yes","No","Maybe","Sometimes","Yes","Sometimes","Yes","",""
"2017/12/26 11:20:12 PM GMT+6","23","Female","Everyday","2-3 hours","Social media(Facebook, Twitter, Instagram, Snapchat etc.);Chatting(Messenger, Viber, Whatsapp);Email;Music;Web Browsing","Home","Smartphone","Instant Messaging","1","Yes","No","Yes","Once a day","More than 5 times an hour","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","No","No","Yes","No","No","",""
"2017/12/26 11:20:51 PM GMT+6","24","Female","Everyday","More than 4 hours","Social media(Facebook, Twitter, Instagram, Snapchat etc.);Blogs;Music;Movies","Home","Smartphone","Voice call( phone);Video call;Instant Messaging","More than 5","Yes","No","No","Less than once each hour","2-5 times an hour","Yes","No","Yes","Yes","No","Yes","No","No","No","Yes","Yes","No","Yes","Yes","Yes","Google, Youtube, Instagram ",""
"2017/12/26 11:31:25 PM GMT+6","24","Female","Everyday","2-3 hours","Social media(Facebook, Twitter, Instagram, Snapchat etc.);Chatting(Messenger, Viber, Whatsapp);Email;News;Blogs;Music;Movies;File Sharing;Web Browsing","Home","Desktop;Smartphone","Voice call( phone)","1-5","Yes","No","Yes","Once a day","Less than once each hour","No","Yes","Yes","Yes","Yes","Yes","Yes","Maybe","Yes","Yes","No","Sometimes","Yes","Yes","Yes","",""
